entry_id,tester_id,created_at,keystroke_sequence
278c2c20-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874167266,"{""1"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""left"",""down"",""left"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""down"",""down"",""down"",""right"",""up"",""left"",""up"",""up"",""left"",""left"",""down"",""left"",""left"",""left"",""left"",""up"",""up"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""won"",""won"",""won"",""won""]}"
3b54dea0-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874200458,"{""3"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""up"",""down"",""up"",""left"",""left"",""down"",""won""]}"
27b278d0-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874167517,"{""1"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""left"",""down"",""left"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""down"",""down"",""down"",""right"",""up"",""left"",""up"",""up"",""left"",""left"",""down"",""left"",""left"",""left"",""left"",""up"",""up"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""won"",""won"",""won"",""won"",""won"",""won"",""won""]}"
277289a0-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874167098,"{""1"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""left"",""down"",""left"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""down"",""down"",""down"",""right"",""up"",""left"",""up"",""up"",""left"",""left"",""down"",""left"",""left"",""left"",""left"",""up"",""up"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""won"",""won""]}"
3ba87ce0-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874201006,"{""3"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""up"",""down"",""up"",""left"",""left"",""down"",""won"",""won"",""won""]}"
27a58080-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874167432,"{""1"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""left"",""down"",""left"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""down"",""down"",""down"",""right"",""up"",""left"",""up"",""up"",""left"",""left"",""down"",""left"",""left"",""left"",""left"",""up"",""up"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""won"",""won"",""won"",""won"",""won"",""won""]}"
3b5f17d0-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874200525,"{""3"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""up"",""down"",""up"",""left"",""left"",""down"",""won"",""won""]}"
2798d650-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874167349,"{""1"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""left"",""down"",""left"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""down"",""down"",""down"",""right"",""up"",""left"",""up"",""up"",""left"",""left"",""down"",""left"",""left"",""left"",""left"",""up"",""up"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""won"",""won"",""won"",""won"",""won""]}"
2766f0e0-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874167022,"{""1"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""left"",""down"",""left"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""down"",""down"",""down"",""right"",""up"",""left"",""up"",""up"",""left"",""left"",""down"",""left"",""left"",""left"",""left"",""up"",""up"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""won""]}"
47ab4950-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874221157,"{""5"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""left"",""left"",""won""]}"
